Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
features_denseblock3_denselayer46_conv1, 14, 14, 1, 1, 1696, 128, 1,
features_denseblock3_denselayer46_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer47_conv1, 14, 14, 1, 1, 1728, 128, 1,
features_denseblock3_denselayer47_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer48_conv1, 14, 14, 1, 1, 1760, 128, 1,
features_denseblock3_denselayer48_conv2, 14, 14, 3, 3, 128, 32, 1,
features_transition3_conv, 14, 14, 1, 1, 1792, 896, 1,
features_denseblock4_denselayer1_conv1, 7, 7, 1, 1, 896, 128, 1,
features_denseblock4_denselayer1_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer2_conv1, 7, 7, 1, 1, 928, 128, 1,
features_denseblock4_denselayer2_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer3_conv1, 7, 7, 1, 1, 960, 128, 1,
features_denseblock4_denselayer3_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer4_conv1, 7, 7, 1, 1, 992, 128, 1,
features_denseblock4_denselayer4_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer5_conv1, 7, 7, 1, 1, 1024, 128, 1,
features_denseblock4_denselayer5_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer6_conv1, 7, 7, 1, 1, 1056, 128, 1,
features_denseblock4_denselayer6_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer7_conv1, 7, 7, 1, 1, 1088, 128, 1,
features_denseblock4_denselayer7_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer8_conv1, 7, 7, 1, 1, 1120, 128, 1,
features_denseblock4_denselayer8_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer9_conv1, 7, 7, 1, 1, 1152, 128, 1,
features_denseblock4_denselayer9_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer10_conv1, 7, 7, 1, 1, 1184, 128, 1,
features_denseblock4_denselayer10_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer11_conv1, 7, 7, 1, 1, 1216, 128, 1,
features_denseblock4_denselayer11_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer12_conv1, 7, 7, 1, 1, 1248, 128, 1,
features_denseblock4_denselayer12_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer13_conv1, 7, 7, 1, 1, 1280, 128, 1,
features_denseblock4_denselayer13_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer14_conv1, 7, 7, 1, 1, 1312, 128, 1,
features_denseblock4_denselayer14_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer15_conv1, 7, 7, 1, 1, 1344, 128, 1,
features_denseblock4_denselayer15_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer16_conv1, 7, 7, 1, 1, 1376, 128, 1,
features_denseblock4_denselayer16_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer17_conv1, 7, 7, 1, 1, 1408, 128, 1,
features_denseblock4_denselayer17_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer18_conv1, 7, 7, 1, 1, 1440, 128, 1,
features_denseblock4_denselayer18_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer19_conv1, 7, 7, 1, 1, 1472, 128, 1,
features_denseblock4_denselayer19_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer20_conv1, 7, 7, 1, 1, 1504, 128, 1,
features_denseblock4_denselayer20_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer21_conv1, 7, 7, 1, 1, 1536, 128, 1,
features_denseblock4_denselayer21_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer22_conv1, 7, 7, 1, 1, 1568, 128, 1,
features_denseblock4_denselayer22_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer23_conv1, 7, 7, 1, 1, 1600, 128, 1,
features_denseblock4_denselayer23_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer24_conv1, 7, 7, 1, 1, 1632, 128, 1,
features_denseblock4_denselayer24_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer25_conv1, 7, 7, 1, 1, 1664, 128, 1,
features_denseblock4_denselayer25_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer26_conv1, 7, 7, 1, 1, 1696, 128, 1,
features_denseblock4_denselayer26_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer27_conv1, 7, 7, 1, 1, 1728, 128, 1,
features_denseblock4_denselayer27_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer28_conv1, 7, 7, 1, 1, 1760, 128, 1,
features_denseblock4_denselayer28_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer29_conv1, 7, 7, 1, 1, 1792, 128, 1,
features_denseblock4_denselayer29_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer30_conv1, 7, 7, 1, 1, 1824, 128, 1,
features_denseblock4_denselayer30_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer31_conv1, 7, 7, 1, 1, 1856, 128, 1,
features_denseblock4_denselayer31_conv2, 7, 7, 3, 3, 128, 32, 1,
features_denseblock4_denselayer32_conv1, 7, 7, 1, 1, 1888, 128, 1,
features_denseblock4_denselayer32_conv2, 7, 7, 3, 3, 128, 32, 1,
classifier, 1, 1, 1, 1, 1920, 1000, 1,
